学院名称,专业号,专业名称,课程代码,课程名称,100分,99-90,89-80,79-70,69-60,60分以下,最高分,最低分,总人数,考试人数,缺考人数,重修人数,总分,平均分,优秀率,良好率,中等率,及格率,不及格率,开课学院
物理科学与技术学院,1196,科学教育,77102410,体育舞蹈3,0,0,3,0,0,0,86,82,3,3,0,0,253,84.33,0%,100%,0%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,77100203,足球3,0,0,5,1,0,0,88,78,6,6,0,0,503,83.83,0%,83.333%,16.667%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,77102003,游泳3,0,1,0,1,0,0,96,77,2,2,0,0,173,86.5,50%,0%,50%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,66130052,化学与生活,0,1,1,1,0,0,91,76,3,3,0,0,253,84.33,33.333%,33.333%,33.333%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66170043,美化语音及拓展训练,0,0,1,0,0,0,87,87,1,1,0,0,87,87,0%,100%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,77101910,康复保健1,0,0,2,0,0,0,86,85,2,2,0,0,171,85.5,0%,100%,0%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,66150032,西方音乐剧鉴赏,0,2,1,0,0,0,91,89,3,3,0,0,270,90,66.667%,33.333%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66190003,创新设计思维与实践,0,0,2,0,0,0,89,86,2,2,0,0,175,87.5,0%,100%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66130063,学习科学与技术,0,0,1,0,0,0,85,85,1,1,0,0,85,85,0%,100%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66152351, 微观美·好设计,0,1,2,0,0,0,93,82,3,3,0,0,264,88,33.333%,66.667%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,30191104,公共日语Ⅳ,0,0,1,1,0,0,82,79,2,2,0,0,161,80.5,0%,50%,50%,100%,0%,大学外语教学部
物理科学与技术学院,1196,科学教育,66170045,WPS演示高级应用,0,4,0,0,0,0,96,94,4,4,0,0,382,95.5,100%,0%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,77100805,羽毛球运动训练1,0,0,1,0,0,0,83,83,1,1,0,0,83,83,0%,100%,0%,100%,0%,公共体育教学部
物理科学与技术学院,1196,科学教育,66130055,动物行为社会学,0,1,0,0,0,0,93,93,1,1,0,0,93,93,100%,0%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66130046,防身术,0,0,0,2,0,0,79,79,2,2,0,0,158,79,0%,0%,100%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66130051,健康管理学,0,3,0,0,0,0,96,94,3,3,0,0,285,95,100%,0%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,08188013,高等数学Ⅱ,0,0,0,0,1,0,63,63,1,1,0,0,63,63,0%,0%,0%,100%,0%,计算机与智能教育学院
物理科学与技术学院,1196,科学教育,11111003,力学,0,0,0,1,0,0,79,79,1,1,0,0,79,79,0%,0%,100%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,66110068,中国影视民俗学,0,0,1,1,0,0,84,75,2,2,0,0,159,79.5,0%,50%,50%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,3019005A,旅游英语:中外名胜博览与欣赏,0,0,1,0,0,0,85,85,1,1,0,0,85,85,0%,100%,0%,100%,0%,大学外语教学部
